(Intercept),vegcBSpr,vegcCrop,vegcGraminoidFen,vegcGrassHerb,vegcIndustrial,vegcLarch,vegcMarsh,vegcMine,vegcMixedwood,vegcPine,vegcRoughP,vegcRural,vegcShrub,vegcSpruce,vegcSwamp,vegcTameP,vegcUrban,wtAge,wtAge2,wtAge05,fCC2,isCon:wtAge,isCon:wtAge2,isCon:wtAge05,isUpCon:wtAge,isUpCon:wtAge2,isUpCon:wtAge05,isBSLarch:wtAge,isBSLarch:wtAge2,isBSLarch:wtAge05,isMix:wtAge,isMix:wtAge2,isMix:wtAge05,isPine:wtAge,isPine:wtAge2,isPine:wtAge05,isWSpruce:wtAge,isWSpruce:wtAge2,isWSpruce:wtAge05
Decid4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.09,0.547722558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decid5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.16,0.632455532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decid6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0.707106781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decid7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.36,0.774596669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decid8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.49,0.836660027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decid9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.64,0.894427191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MixedwoodR,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mixedwood1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.05,0.0025,0.223606798,0,0,0,0,0,0,0,0,0,0,0.05,0.0025,0.223606798,0,0,0,0,0,0
Mixedwood2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.01,0.316227766,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.316227766,0,0,0,0,0,0
Mixedwood3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.04,0.447213595,0,0,0,0,0,0,0,0,0,0,0.2,0.04,0.447213595,0,0,0,0,0,0
Mixedwood4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,0.09,0.547722558,0,0,0,0,0,0,0,0,0,0,0.3,0.09,0.547722558,0,0,0,0,0,0
Mixedwood5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4,0.16,0.632455532,0,0,0,0,0,0,0,0,0,0,0.4,0.16,0.632455532,0,0,0,0,0,0
Mixedwood6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.25,0.707106781,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0.707106781,0,0,0,0,0,0
Mixedwood7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.6,0.36,0.774596669,0,0,0,0,0,0,0,0,0,0,0.6,0.36,0.774596669,0,0,0,0,0,0
Mixedwood8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7,0.49,0.836660027,0,0,0,0,0,0,0,0,0,0,0.7,0.49,0.836660027,0,0,0,0,0,0
Mixedwood9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.8,0.64,0.894427191,0,0,0,0,0,0,0,0,0,0,0.8,0.64,0.894427191,0,0,0,0,0,0
BSprR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BSpr1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0025,0.223606798,0,0,0,0,0,0,0,0.05,0.0025,0.223606798,0,0,0,0,0,0,0,0,0
BSpr2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.316227766,0,0,0,0,0,0,0,0.1,0.01,0.316227766,0,0,0,0,0,0,0,0,0
BSpr3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.04,0.447213595,0,0,0,0,0,0,0,0.2,0.04,0.447213595,0,0,0,0,0,0,0,0,0
BSpr4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.09,0.547722558,0,0,0,0,0,0,0,0.3,0.09,0.547722558,0,0,0,0,0,0,0,0,0
BSpr5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.16,0.632455532,0,0,0,0,0,0,0,0.4,0.16,0.632455532,0,0,0,0,0,0,0,0,0
BSpr6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0.707106781,0,0,0,0,0,0,0,0.5,0.25,0.707106781,0,0,0,0,0,0,0,0,0
BSpr7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.36,0.774596669,0,0,0,0,0,0,0,0.6,0.36,0.774596669,0,0,0,0,0,0,0,0,0
BSpr8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.49,0.836660027,0,0,0,0,0,0,0,0.7,0.49,0.836660027,0,0,0,0,0,0,0,0,0
BSpr9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.64,0.894427191,0,0,0,0,0,0,0,0.8,0.64,0.894427191,0,0,0,0,0,0,0,0,0
LarchR,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Larch1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0025,0.223606798,0,0,0,0,0,0,0,0.05,0.0025,0.223606798,0,0,0,0,0,0,0,0,0
Larch2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.316227766,0,0,0,0,0,0,0,0.1,0.01,0.316227766,0,0,0,0,0,0,0,0,0
Larch3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2,0.04,0.447213595,0,0,0,0,0,0,0,0.2,0.04,0.447213595,0,0,0,0,0,0,0,0,0
Larch4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3,0.09,0.547722558,0,0,0,0,0,0,0,0.3,0.09,0.547722558,0,0,0,0,0,0,0,0,0
Larch5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.4,0.16,0.632455532,0,0,0,0,0,0,0,0.4,0.16,0.632455532,0,0,0,0,0,0,0,0,0
Larch6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0.707106781,0,0,0,0,0,0,0,0.5,0.25,0.707106781,0,0,0,0,0,0,0,0,0
Larch7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6,0.36,0.774596669,0,0,0,0,0,0,0,0.6,0.36,0.774596669,0,0,0,0,0,0,0,0,0
Larch8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7,0.49,0.836660027,0,0,0,0,0,0,0,0.7,0.49,0.836660027,0,0,0,0,0,0,0,0,0
Larch9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8,0.64,0.894427191,0,0,0,0,0,0,0,0.8,0.64,0.894427191,0,0,0,0,0,0,0,0,0
GrassHerb,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shrub,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swamp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GraminoidFen,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marsh,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RoughP,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TameP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crop,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industrial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mine,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urban,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCSpruceR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCSpruce1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.05,0.0025,0.223606798,0.9265,0.05,0.0025,0.223606798,0.05,0.0025,0.223606798,0,0,0,0,0,0,0,0,0,0.05,0.0025,0.223606798
CCSpruce2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1,0.01,0.316227766,0.74,0.1,0.01,0.316227766,0.1,0.01,0.316227766,0,0,0,0,0,0,0,0,0,0.1,0.01,0.316227766
CCSpruce3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2,0.04,0.447213595,0.293,0.2,0.04,0.447213595,0.2,0.04,0.447213595,0,0,0,0,0,0,0,0,0,0.2,0.04,0.447213595
CCSpruce4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3,0.09,0.547722558,0.077,0.3,0.09,0.547722558,0.3,0.09,0.547722558,0,0,0,0,0,0,0,0,0,0.3,0.09,0.547722558
CCPineR,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCPine1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.05,0.0025,0.223606798,0.9265,0.05,0.0025,0.223606798,0.05,0.0025,0.223606798,0,0,0,0,0,0,0.05,0.0025,0.223606798,0,0,0
CCPine2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1,0.01,0.316227766,0.74,0.1,0.01,0.316227766,0.1,0.01,0.316227766,0,0,0,0,0,0,0.1,0.01,0.316227766,0,0,0
CCPine3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2,0.04,0.447213595,0.293,0.2,0.04,0.447213595,0.2,0.04,0.447213595,0,0,0,0,0,0,0.2,0.04,0.447213595,0,0,0
CCPine4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3,0.09,0.547722558,0.077,0.3,0.09,0.547722558,0.3,0.09,0.547722558,0,0,0,0,0,0,0.3,0.09,0.547722558,0,0,0
CCDecidR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDecid1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0025,0.223606798,0.7985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDecid2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.316227766,0.528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDecid3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.04,0.447213595,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDecid4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.09,0.547722558,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCMixedwoodR,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCMixedwood1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.05,0.0025,0.223606798,0.7985,0,0,0,0,0,0,0,0,0,0.05,0.0025,0.223606798,0,0,0,0,0,0
CCMixedwood2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.01,0.316227766,0.528,0,0,0,0,0,0,0,0,0,0.1,0.01,0.316227766,0,0,0,0,0,0
CCMixedwood3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.04,0.447213595,0.15,0,0,0,0,0,0,0,0,0,0.2,0.04,0.447213595,0,0,0,0,0,0
CCMixedwood4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,0.09,0.547722558,0.06,0,0,0,0,0,0,0,0,0,0.3,0.09,0.547722558,0,0,0,0,0,0
